# Pixel positions of the trace in the spatial direction, Width of the trace
8.235821404197700701e+01,1.200440140303409731e+00
8.235672252478451583e+01,1.200440140303409731e+00
8.235522743624842690e+01,1.200440140303409731e+00
8.235372878128291063e+01,1.200440140303409731e+00
8.235222656480216585e+01,1.200440140303409731e+00
8.235072079172039139e+01,1.200440140303409731e+00
8.234921146695178606e+01,1.200440140303409731e+00
8.234769859541052028e+01,1.200440140303409731e+00
8.234618218201079287e+01,1.200440140303409731e+00
8.234466223166678844e+01,1.200440140303409731e+00
8.234313874929272004e+01,1.200440140303409731e+00
8.234161173980274384e+01,1.200440140303409731e+00
8.234008120811108711e+01,1.200440140303409731e+00
8.233854715913192024e+01,1.200440140303409731e+00
8.233700959777942785e+01,1.200440140303409731e+00
8.233546852896782298e+01,1.200440140303409731e+00
8.233392395761129023e+01,1.200440140303409731e+00
8.233237588862400003e+01,1.200440140303409731e+00
8.233082432692016539e+01,1.200440140303409731e+00
8.232926927741397094e+01,1.200440140303409731e+00
8.232771074501960129e+01,1.200440140303409731e+00
8.232614873465125527e+01,1.200440140303409731e+00
8.232458325122313170e+01,1.200440140303409731e+00
8.232301429964940098e+01,1.200440140303409731e+00
8.232144188484427616e+01,1.200440140303409731e+00
8.231986601172192763e+01,1.200440140303409731e+00
8.231828668519655423e+01,1.200440140303409731e+00
8.231670391018235478e+01,1.200440140303409731e+00
8.231511769159349967e+01,1.200440140303409731e+00
8.231352803434420196e+01,1.200440140303409731e+00
8.231193494334864624e+01,1.200440140303409731e+00
8.231033842352101715e+01,1.200440140303409731e+00
8.230873847977552771e+01,1.200440140303409731e+00
8.230713511702633411e+01,1.200440140303409731e+00
8.230552834018764941e+01,1.200440140303409731e+00
8.230391815417365819e+01,1.200440140303409731e+00
8.230230456389854510e+01,1.200440140303409731e+00
8.230068757427652315e+01,1.200440140303409731e+00
8.229906719022176276e+01,1.200440140303409731e+00
8.229744341664846274e+01,1.200440140303409731e+00
8.229581625847080772e+01,1.200440140303409731e+00
8.229418572060299653e+01,1.200440140303409731e+00
8.229255180795921376e+01,1.200440140303409731e+00
8.229091452545365826e+01,1.200440140303409731e+00
8.228927387800051463e+01,1.200440140303409731e+00
8.228762987051398170e+01,1.200440140303409731e+00
8.228598250790822988e+01,1.200440140303409731e+00
8.228433179509747220e+01,1.200440140303409731e+00
8.228267773699589327e+01,1.200440140303409731e+00
8.228102033851769193e+01,1.200440140303409731e+00
8.227935960457703857e+01,1.200440140303409731e+00
8.227769554008813202e+01,1.200440140303409731e+00
8.227602814996517111e+01,1.200440140303409731e+00
8.227435743912235466e+01,1.200440140303409731e+00
8.227268341247383887e+01,1.200440140303409731e+00
8.227100607493385098e+01,1.200440140303409731e+00
8.226932543141657561e+01,1.200440140303409731e+00
8.226764148683618316e+01,1.200440140303409731e+00
8.226595424610687246e+01,1.200440140303409731e+00
8.226426371414285654e+01,1.200440140303409731e+00
8.226256989585830581e+01,1.200440140303409731e+00
8.226087279616740489e+01,1.200440140303409731e+00
8.225917241998436680e+01,1.200440140303409731e+00
8.225746877222336195e+01,1.200440140303409731e+00
8.225576185779858918e+01,1.200440140303409731e+00
8.225405168162424729e+01,1.200440140303409731e+00
8.225233824861452092e+01,1.200440140303409731e+00
8.225062156368359467e+01,1.200440140303409731e+00
8.224890163174566737e+01,1.200440140303409731e+00
8.224717845771492364e+01,1.200440140303409731e+00
8.224545204650556229e+01,1.200440140303409731e+00
8.224372240303176795e+01,1.200440140303409731e+00
8.224198953220773944e+01,1.200440140303409731e+00
8.224025343894766138e+01,1.200440140303409731e+00
8.223851412816571838e+01,1.200440140303409731e+00
8.223677160477612347e+01,1.200440140303409731e+00
8.223502587369303285e+01,1.200440140303409731e+00
8.223327693983067377e+01,1.200440140303409731e+00
8.223152480810321663e+01,1.200440140303409731e+00
8.222976948342486025e+01,1.200440140303409731e+00
8.222801097070978926e+01,1.200440140303409731e+00
8.222624927487218827e+01,1.200440140303409731e+00
8.222448440082627030e+01,1.200440140303409731e+00
8.222271635348620578e+01,1.200440140303409731e+00
8.222094513776619351e+01,1.200440140303409731e+00
8.221917075858043233e+01,1.200440140303409731e+00
8.221739322084309265e+01,1.200440140303409731e+00
8.221561252946838749e+01,1.200440140303409731e+00
8.221382868937050148e+01,1.200440140303409731e+00
8.221204170546360501e+01,1.200440140303409731e+00
8.221025158266192534e+01,1.200440140303409731e+00
8.220845832587961866e+01,1.200440140303409731e+00
8.220666194003091221e+01,1.200440140303409731e+00
8.220486243002996218e+01,1.200440140303409731e+00
8.220305980079096742e+01,1.200440140303409731e+00
8.220125405722814094e+01,1.200440140303409731e+00
8.219944520425565315e+01,1.200440140303409731e+00
8.219763324678768868e+01,1.200440140303409731e+00
8.219581818973846055e+01,1.200440140303409731e+00
8.219400003802215338e+01,1.200440140303409731e+00
8.219217879655295178e+01,1.200440140303409731e+00
8.219035447024504037e+01,1.200440140303409731e+00
8.218852706401261798e+01,1.200440140303409731e+00
8.218669658276988343e+01,1.200440140303409731e+00
8.218486303143102134e+01,1.200440140303409731e+00
8.218302641491021632e+01,1.200440140303409731e+00
8.218118673812166719e+01,1.200440140303409731e+00
8.217934400597955857e+01,1.200440140303409731e+00
8.217749822339808929e+01,1.200440140303409731e+00
8.217564939529144397e+01,1.200440140303409731e+00
8.217379752657380720e+01,1.200440140303409731e+00
8.217194262215939204e+01,1.200440140303409731e+00
8.217008468696236889e+01,1.200440140303409731e+00
8.216822372589693657e+01,1.200440140303409731e+00
8.216635974387727970e+01,1.200440140303409731e+00
8.216449274581761131e+01,1.200440140303409731e+00
8.216262273663208759e+01,1.200440140303409731e+00
8.216074972123493581e+01,1.200440140303409731e+00
8.215887370454031213e+01,1.200440140303409731e+00
8.215699469146242961e+01,1.200440140303409731e+00
8.215511268691547286e+01,1.200440140303409731e+00
8.215322769581364071e+01,1.200440140303409731e+00
8.215133972307111776e+01,1.200440140303409731e+00
8.214944877360208864e+01,1.200440140303409731e+00
8.214755485232073795e+01,1.200440140303409731e+00
8.214565796414129295e+01,1.200440140303409731e+00
8.214375811397790983e+01,1.200440140303409731e+00
8.214185530674478741e+01,1.200440140303409731e+00
8.213994954735611032e+01,1.200440140303409731e+00
8.213804084072609157e+01,1.200440140303409731e+00
8.213612919176891580e+01,1.200440140303409731e+00
8.213421460539875341e+01,1.200440140303409731e+00
8.213229708652981742e+01,1.200440140303409731e+00
8.213037664007627825e+01,1.200440140303409731e+00
8.212845327095234893e+01,1.200440140303409731e+00
8.212652698407221408e+01,1.200440140303409731e+00
8.212459778435005830e+01,1.200440140303409731e+00
8.212266567670008044e+01,1.200440140303409731e+00
8.212073066603645088e+01,1.200440140303409731e+00
8.211879275727338268e+01,1.200440140303409731e+00
8.211685195532507464e+01,1.200440140303409731e+00
8.211490826510568297e+01,1.200440140303409731e+00
8.211296169152943492e+01,1.200440140303409731e+00
8.211101223951050088e+01,1.200440140303409731e+00
8.210905991396307968e+01,1.200440140303409731e+00
8.210710471980134173e+01,1.200440140303409731e+00
8.210514666193951427e+01,1.200440140303409731e+00
8.210318574529176772e+01,1.200440140303409731e+00
8.210122197477228667e+01,1.200440140303409731e+00
8.209925535529526996e+01,1.200440140303409731e+00
8.209728589177491642e+01,1.200440140303409731e+00
8.209531358912541066e+01,1.200440140303409731e+00
8.209333845226093729e+01,1.200440140303409731e+00
8.209136048609569514e+01,1.200440140303409731e+00
8.208937969554386882e+01,1.200440140303409731e+00
8.208739608551965716e+01,1.200440140303409731e+00
8.208540966093724478e+01,1.200440140303409731e+00
8.208342042671081629e+01,1.200440140303409731e+00
8.208142838775458472e+01,1.200440140303409731e+00
8.207943354898272048e+01,1.200440140303409731e+00
8.207743591530942240e+01,1.200440140303409731e+00
8.207543549164887509e+01,1.200440140303409731e+00
8.207343228291527737e+01,1.200440140303409731e+00
8.207142629402282807e+01,1.200440140303409731e+00
8.206941752988569760e+01,1.200440140303409731e+00
8.206740599541808479e+01,1.200440140303409731e+00
8.206539169553418844e+01,1.200440140303409731e+00
8.206337463514819319e+01,1.200440140303409731e+00
8.206135481917428365e+01,1.200440140303409731e+00
8.205933225252667285e+01,1.200440140303409731e+00
8.205730694011953119e+01,1.200440140303409731e+00
8.205527888686704330e+01,1.200440140303409731e+00
8.205324809768342220e+01,1.200440140303409731e+00
8.205121457748285252e+01,1.200440140303409731e+00
8.204917833117951886e+01,1.200440140303409731e+00
8.204713936368760585e+01,1.200440140303409731e+00
8.204509767992132652e+01,1.200440140303409731e+00
8.204305328479485127e+01,1.200440140303409731e+00
8.204100618322237892e+01,1.200440140303409731e+00
8.203895638011809410e+01,1.200440140303409731e+00
8.203690388039620984e+01,1.200440140303409731e+00
8.203484868897088234e+01,1.200440140303409731e+00
8.203279081075633883e+01,1.200440140303409731e+00
8.203073025066673551e+01,1.200440140303409731e+00
8.202866701361629964e+01,1.200440140303409731e+00
8.202660110451918740e+01,1.200440140303409731e+00
8.202453252828961183e+01,1.200440140303409731e+00
8.202246128984175755e+01,1.200440140303409731e+00
8.202038739408980916e+01,1.200440140303409731e+00
8.201831084594796550e+01,1.200440140303409731e+00
8.201623165033042540e+01,1.200440140303409731e+00
8.201414981215135924e+01,1.200440140303409731e+00
8.201206533632498008e+01,1.200440140303409731e+00
8.200997822776545831e+01,1.200440140303409731e+00
8.200788849138699277e+01,1.200440140303409731e+00
