# Pesampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
2.813563349789313491e-15,6.929589730774052884e-13,2.110552215963292895e-11,3.773634612784117036e-14
1.430924485686214491e-15,5.786837027626714971e-13,1.762166068996620088e-11,3.151327763025267018e-14
1.038943406894750271e-15,4.870298998328590681e-13,1.483397965686958672e-11,2.652210244330460494e-14
3.077465833275304185e-15,4.134115046289288198e-13,1.258925590002312761e-11,2.251307831460458080e-14
1.750666332149929342e-15,3.541381005682358288e-13,1.078406365987035253e-11,1.928523687084502459e-14
1.528154701916341472e-15,3.051122267871992133e-13,9.295198340722455413e-12,1.661544339921392795e-14
8.173475859640878170e-16,2.662190497187464824e-13,8.111701493809068403e-12,1.449744442810555601e-14
1.103383850873950688e-15,2.355822641560268806e-13,7.179903826898190399e-12,1.282906233155873297e-14
5.738621286110830065e-16,2.108204730152077123e-13,6.423677652567516726e-12,1.148061378323228687e-14
7.562567627341033654e-15,1.908948965825987035e-13,5.815479074900164840e-12,1.039553013712612638e-14
1.963861220046741215e-14,1.749975296521706932e-13,5.328396661328170109e-12,9.529809994422281004e-15
1.097900404023445891e-15,1.625062216894555694e-13,4.950420662802658240e-12,8.849573011790951898e-15
8.584817338008903855e-16,1.529509500510657686e-13,4.660363077316585043e-12,8.329223247977625982e-15
1.354784615380289977e-15,1.459866158512157546e-13,4.447451984438432830e-12,7.949967713042435847e-15
1.687501650871421319e-15,1.412718469813744915e-13,4.302573465948383790e-12,7.693216365509008423e-15
1.390255419285152855e-15,1.383081973730841376e-13,4.211182629850855437e-12,7.531825414626976861e-15
4.887935913976512386e-16,1.365466154306292914e-13,4.160320281794688486e-12,7.435895253267307314e-15
8.541747192414842781e-17,1.354944063750930491e-13,4.129852418368615010e-12,7.378595287662694763e-15
1.528850755166063992e-16,1.346908052254722036e-13,4.105982108931581053e-12,7.334833719494162895e-15
1.549955293765053887e-16,1.336907407833256027e-13,4.072417962032536895e-12,7.280373384030669602e-15
1.048485895419561346e-15,1.320635460501379291e-13,4.023583933999079992e-12,7.191761523551882965e-15
6.179296661134695019e-16,1.294056059649329460e-13,3.941832281044868781e-12,7.047018542992071455e-15
5.571448057187023178e-16,1.253931710985065882e-13,3.821701029362360667e-12,6.828514076082269294e-15
8.301256863536867229e-16,1.202483009058612162e-13,3.663842071696743741e-12,6.548340775892202555e-15
4.242624516152715086e-16,1.147282309543456821e-13,3.494945690244515904e-12,6.247735287828872652e-15
4.329056400994615688e-16,1.090832093394492429e-13,3.323698048530071930e-12,5.940325328827068835e-15
9.550732481755471138e-16,1.036414269202845730e-13,3.157335258748798572e-12,5.643983131330929128e-15
4.840750158592318134e-16,9.867122364172038390e-14,3.005509356090549240e-12,5.373321636970737851e-15
6.950860938184971212e-16,9.436281760976633673e-14,2.874635812071743357e-12,5.138699520004850456e-15
7.857047298258196736e-16,9.074666205734354848e-14,2.763921769267948159e-12,4.941775166828505908e-15
7.891487592432128388e-16,8.772115951379217922e-14,2.671866681869048871e-12,4.777015901676380321e-15
9.350334704895845280e-16,8.518816100916986826e-14,2.595859048860814842e-12,4.639076843186922539e-15
6.682066439873950461e-16,8.306383898816384084e-14,2.530816108260213969e-12,4.523393008781006944e-15
5.084088924955273699e-16,8.127536811396976058e-14,2.475913632944540448e-12,4.425998561776846867e-15
8.748608188664850069e-16,7.975834282871111736e-14,2.429560261735273694e-12,4.343386179927527011e-15
5.802653464295722633e-16,7.845477633095477362e-14,2.389992355353303444e-12,4.272398086088091736e-15
1.144914042696780774e-16,7.731156940003796850e-14,2.357165427084569790e-12,4.210142665248601357e-15
5.700638661576259973e-16,7.627936948467069803e-14,2.323434177730890257e-12,4.153932334120871721e-15
7.464285711509815315e-16,7.531176362245796851e-14,2.293904073888917188e-12,4.101239590097464982e-15
8.145512202549563638e-16,7.436476505065920071e-14,2.265804421917503398e-12,4.049669053703220316e-15
3.762032167890259370e-16,7.339656413238201291e-14,2.237866440360268176e-12,3.996943904826350325e-15
9.263690048199086613e-16,7.234590722027840234e-14,2.204215091969427359e-12,3.939728464262952371e-15
8.820435106029827836e-16,7.118077365186065516e-14,2.168195352598415968e-12,3.876278988377747122e-15
1.035942355792848397e-15,6.990662854352438441e-14,2.129210049671883543e-12,3.806893090067855503e-15
8.031167731576237486e-16,6.846560853072839404e-14,2.085935010644261740e-12,3.728419714169100697e-15
9.147619457820425270e-16,6.683151989002263732e-14,2.035911073474190811e-12,3.639432433648669842e-15
7.275498673732450245e-16,6.498321969948898432e-14,1.979843800479112407e-12,3.538779872092889309e-15
7.690301813524386783e-16,6.290546038857883744e-14,1.916059608023095763e-12,3.425631695210504084e-15
8.131143013604557397e-16,6.058969765351372497e-14,1.846670177580161665e-12,3.299522607340816492e-15
7.689338825655671052e-16,5.803479197402112077e-14,1.769434377908734747e-12,3.160390553828248064e-15
7.215414991416311920e-16,5.524964837874414749e-14,1.683459290099524703e-12,3.008720474267191233e-15
5.329933552019556852e-16,5.229465226878545146e-14,1.592988689659310874e-12,2.847800765924144741e-15
5.355501510181247574e-16,4.931739110151650411e-14,1.502376323644535526e-12,2.685668573247662620e-15
5.677294253306604778e-16,4.648217052364425500e-14,1.415909545947199826e-12,2.531271460208493515e-15
6.509362330227299724e-16,4.391987376359458158e-14,1.338096080114973382e-12,2.391736911968048069e-15
4.931208963243111414e-16,4.173218243760889395e-14,1.271509843410825265e-12,2.272602186580815615e-15
6.311576705359269641e-16,3.997036593795670456e-14,1.217431061428632683e-12,2.176659252404860505e-15
7.148588867895458016e-16,3.859782335851221612e-14,1.175837459067400503e-12,2.101914940271175836e-15
3.968177356208443010e-16,3.754696668650037026e-14,1.143906578157258290e-12,2.044688621544354525e-15
4.282969370461886709e-16,3.675894006959489398e-14,1.119974884988782570e-12,2.001775193329317279e-15
3.638231622768221148e-16,3.618395362884519592e-14,1.102779747165463611e-12,1.970463256863613957e-15
5.215777976205446409e-16,3.577857488645540441e-14,1.090468778900490608e-12,1.948387617271927028e-15
