# Pesampled Flux, Resampled Flux Uncertainty, Resampled Sky Flux, Resampled Sensitivity Curve
nan,nan,nan,nan
1.733541032248599297e-13,1.402546948264115009e-12,1.636296205727955723e-09,1.457476802055861423e-12
1.223191962603514084e-13,1.403132602994996216e-12,1.636735537051720324e-09,1.458738112989784448e-12
1.102123081222728778e-13,1.400204742998383168e-12,1.633952983622111165e-09,1.455246529555550102e-12
3.632479381854558697e-13,1.391914323302285853e-12,1.622048488058560876e-09,1.446433506088380431e-12
6.342895926548557670e-14,1.380273131873909585e-12,1.611187392979438652e-09,1.434461966780781698e-12
6.761596175512263357e-15,1.365286317831852973e-12,1.593397583570226370e-09,1.419629443381429203e-12
9.492408071287376969e-14,1.349162171836897408e-12,1.574174847926049392e-09,1.402469974862059117e-12
2.040596339221255383e-13,1.331378978046053167e-12,1.552860009783006532e-09,1.383559397821501788e-12
8.512290796712701880e-14,1.311469215503273099e-12,1.530076790250109354e-09,1.363457658151207781e-12
3.628045516181909860e-13,1.292421734586411645e-12,1.506247597437890672e-09,1.342703176795040029e-12
6.520977296040499215e-14,1.271655722205933546e-12,1.484070669503052750e-09,1.321809194146904258e-12
9.106807609487282024e-14,1.250793672446220683e-12,1.459465526916210777e-09,1.300125448237140823e-12
8.389759911357317321e-14,1.230864674128444400e-12,1.435670452032511397e-09,1.279931281594489133e-12
4.402020730440651709e-13,1.214267249149458667e-12,1.414163696945056712e-09,1.261556400939605555e-12
1.569686114990389022e-13,1.196275311764667079e-12,1.395018237796525911e-09,1.243602777309717339e-12
2.090689727483898619e-13,1.178574757789851655e-12,1.374642187169557677e-09,1.224516234674832438e-12
3.400107874285367068e-13,1.157838987602189181e-12,1.349388405527563241e-09,1.202776837228942084e-12
2.898272805445476011e-13,1.132516310088171350e-12,1.319708029672060005e-09,1.176983655347462940e-12
1.263614795258052488e-13,1.102544206039545209e-12,1.286202082964336065e-09,1.145895218266908005e-12
3.685680167714347961e-13,1.067570209661541426e-12,1.244249784447101201e-09,1.108482890273662397e-12
1.925389695485419486e-13,1.023345146233483067e-12,1.192623321029329147e-09,1.063992225042393072e-12
2.023910187420916922e-13,9.712702355481127492e-13,1.132367499405128222e-09,1.009306576829362340e-12
3.471371946953688578e-13,9.117437472120580784e-13,1.061655112541604419e-09,9.472775891848467478e-13
1.716596440142810189e-13,8.469985531197626690e-13,9.878054093585408208e-10,8.799219147914641180e-13
2.728813963567055040e-13,7.770647730149885244e-13,9.056055793277785394e-10,8.068590624216993792e-13
